Date,Open,High,Low,Close,Adj Close,Volume
2023-06-05,3.080000,3.150000,3.000000,3.070000,3.070000,6381800
2023-06-06,3.020000,3.090000,2.960000,3.050000,3.050000,4293000
2023-06-07,3.060000,3.120000,2.990000,2.990000,2.990000,4299600
2023-06-08,2.970000,3.180000,2.960000,3.160000,3.160000,6602600
2023-06-09,3.160000,3.160000,3.010000,3.100000,3.100000,5428900
2023-06-12,3.100000,3.230000,3.070000,3.170000,3.170000,4896600
2023-06-13,3.230000,3.370000,3.130000,3.160000,3.160000,7194700
2023-06-14,3.230000,3.340000,3.060000,3.120000,3.120000,5694100
2023-06-15,3.110000,3.250000,3.070000,3.250000,3.250000,4902700
2023-06-16,3.280000,3.320000,3.210000,3.290000,3.290000,14673000
2023-06-20,3.310000,3.330000,3.200000,3.310000,3.310000,4353800
2023-06-21,3.310000,3.470000,3.260000,3.440000,3.440000,8626400
2023-06-22,3.390000,3.430000,3.350000,3.400000,3.400000,3750800
2023-06-23,3.320000,3.410000,3.270000,3.410000,3.410000,25121400
2023-06-26,3.370000,3.450000,3.350000,3.390000,3.390000,4827200
2023-06-27,3.390000,3.400000,3.370000,3.390000,3.390000,3136600
2023-06-28,3.370000,3.450000,3.350000,3.410000,3.410000,3671100
2023-06-29,3.420000,3.450000,3.370000,3.420000,3.420000,3336400
2023-06-30,3.420000,3.430000,3.370000,3.400000,3.400000,3321900
2023-07-03,3.340000,3.400000,3.290000,3.400000,3.400000,3342200
2023-07-05,3.370000,3.420000,3.280000,3.390000,3.390000,5815000
2023-07-06,3.310000,3.390000,3.270000,3.310000,3.310000,8560500
2023-07-07,3.300000,3.410000,3.290000,3.350000,3.350000,2591300
2023-07-10,3.280000,3.330000,3.210000,3.290000,3.290000,3297500
2023-07-11,3.290000,3.330000,3.170000,3.170000,3.170000,5707700
2023-07-12,3.190000,3.270000,3.150000,3.170000,3.170000,4828100
2023-07-13,3.180000,3.290000,3.150000,3.240000,3.240000,4854800
2023-07-14,3.240000,3.290000,3.100000,3.120000,3.120000,4804100
2023-07-17,3.110000,3.200000,2.870000,3.170000,3.170000,4393600
2023-07-18,3.180000,3.280000,3.150000,3.210000,3.210000,3710300
2023-07-19,3.240000,3.450000,3.240000,3.380000,3.380000,4798000
2023-07-20,3.390000,3.400000,3.260000,3.290000,3.290000,2602300
2023-07-21,3.270000,3.290000,3.200000,3.210000,3.210000,3740800
2023-07-24,3.210000,3.290000,3.210000,3.260000,3.260000,3769600
2023-07-25,3.270000,3.440000,3.250000,3.380000,3.380000,4290500
2023-07-26,3.380000,3.410000,3.310000,3.370000,3.370000,2766100
2023-07-27,3.370000,3.400000,3.210000,3.250000,3.250000,3782100
2023-07-28,3.270000,3.360000,3.260000,3.320000,3.320000,2544400
2023-07-31,3.340000,3.650000,3.340000,3.600000,3.600000,8231400
2023-08-01,3.620000,3.630000,3.510000,3.600000,3.600000,4380500
2023-08-02,3.560000,3.570000,3.350000,3.520000,3.520000,6399400
2023-08-03,3.510000,3.600000,3.470000,3.550000,3.550000,3127600
2023-08-04,3.570000,3.710000,3.560000,3.650000,3.650000,5085700
2023-08-07,3.670000,3.770000,3.580000,3.660000,3.660000,3929500
2023-08-08,3.610000,3.680000,3.540000,3.650000,3.650000,3293300
2023-08-09,3.670000,3.740000,3.630000,3.690000,3.690000,6103500
2023-08-10,3.740000,3.860000,3.600000,3.610000,3.610000,7239000
2023-08-11,3.570000,3.820000,3.550000,3.820000,3.820000,5280900
2023-08-14,3.830000,3.860000,3.690000,3.820000,3.820000,4060800
2023-08-15,3.790000,3.820000,3.600000,3.670000,3.670000,5906400
2023-08-16,3.640000,3.740000,3.630000,3.680000,3.680000,3036500
2023-08-17,3.690000,3.750000,3.640000,3.700000,3.700000,3617700
2023-08-18,3.700000,3.900000,3.650000,3.850000,3.850000,7489400
2023-08-21,3.900000,4.110000,3.880000,4.080000,4.080000,8256400
2023-08-22,4.130000,4.160000,4.010000,4.160000,4.160000,6676300
2023-08-23,4.050000,4.250000,4.020000,4.230000,4.230000,6859300
2023-08-24,4.220000,4.330000,4.110000,4.180000,4.180000,7033500
2023-08-25,4.150000,4.290000,4.010000,4.290000,4.290000,7355700
2023-08-28,4.270000,4.350000,4.240000,4.300000,4.300000,3932400
2023-08-29,4.260000,4.350000,4.200000,4.340000,4.340000,4178900
2023-08-30,4.260000,4.500000,4.240000,4.380000,4.380000,6473200
2023-08-31,4.380000,4.410000,4.250000,4.320000,4.320000,6133800
2023-09-01,4.380000,4.460000,4.320000,4.400000,4.400000,4297300
2023-09-05,4.490000,4.740000,4.470000,4.720000,4.720000,10576000
2023-09-06,4.720000,4.720000,4.540000,4.630000,4.630000,5562100
2023-09-07,4.590000,4.700000,4.550000,4.620000,4.620000,4819300
2023-09-08,4.640000,4.720000,4.470000,4.660000,4.660000,7596400
2023-09-11,4.700000,4.860000,4.670000,4.830000,4.830000,8228100
2023-09-12,4.820000,4.990000,4.810000,4.880000,4.880000,7459700
2023-09-13,4.900000,5.240000,4.850000,5.190000,5.190000,15627500
2023-09-14,5.200000,5.470000,5.180000,5.420000,5.420000,20040200
2023-09-15,5.450000,5.550000,5.250000,5.380000,5.380000,18919400
2023-09-18,5.300000,5.440000,4.760000,5.360000,5.360000,15066500
2023-09-19,5.310000,5.480000,5.030000,5.100000,5.100000,13804900
2023-09-20,5.050000,5.240000,5.040000,5.070000,5.070000,8384400
2023-09-21,4.850000,5.110000,4.800000,4.930000,4.930000,9491100
2023-09-22,5.000000,5.370000,5.000000,5.200000,5.200000,9208900
